area_type,availability,location,bhk,society,sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Kadugodi,2,,1198,2,2,58
Plot  Area,Ready To Move,Pillahalli,3,,1900,2,,92
Super built-up  Area,18-Mar,9th Phase JP Nagar,2,HMigond,1466,2,2,71
Built-up  Area,Ready To Move,Aishwarya Crystal Layout,2,GRvasth,1053,2,0,51
Super built-up  Area,Ready To Move,Marathahalli,2,,1215,2,2,58.86
Super built-up  Area,Ready To Move,Marathahalli,2,,1215,2,2,58.86
Super built-up  Area,Ready To Move,Kadugodi,1,RatatHa,840,1,0,40.7
Super built-up  Area,Ready To Move,Marathahalli,2,,1196,2,2,57.95
Built-up  Area,Ready To Move,Anand Nagar,2,,1135,2,3,55
Super built-up  Area,18-Jan,Yelahanka,2,Prensya,1362,2,2,66
Super built-up  Area,Ready To Move,Jalahalli East,3,ShshaSa,1300,2,1,63
Super built-up  Area,Ready To Move,Byatarayanapura,2,,1300,2,2,63
Super built-up  Area,Ready To Move,Marathahalli,3,,1200,2,1,58.17
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1444,2,2,70
Super built-up  Area,Ready To Move,Kengeri,2,,1052,2,2,51
Super built-up  Area,Ready To Move,Balaji Gardens Layout,1,,825,2,1,40
Super built-up  Area,Ready To Move,Coffee Board Layout,2,Tepleee,1155,2,3,56
Super built-up  Area,20-Dec,Jakkur,3,ArndsSk,1485,3,2,72
Built-up  Area,Ready To Move,AMS Layout,3,,1650,2,2,80
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,,3300,4,3,160
Built-up  Area,Ready To Move,JP Nagar,3,,3300,4,3,160
Built-up  Area,20-Dec,"Hoodi Circle, ",3,,1629,3,2,79
Super built-up  Area,Ready To Move,Kumaraswami Layout,2,Mania G,1000,2,1,48.5
Super built-up  Area,20-Dec,Jakkur,2,ArndsSk,1100,2,1,53.35
Super built-up  Area,Ready To Move,Nagavarapalya,2,,1134,2,2,55
Super built-up  Area,Ready To Move,Hegde Nagar,3,Golmsn ,1835,3,3,89
Super built-up  Area,18-May,Devanahalli,2,Derdsig,1340,2,1,65
Built-up  Area,Ready To Move,Kanakapura,2,,1340,2,2,65
Super built-up  Area,Ready To Move,Vinayaka Nagar,2,,1340,2,1,65
Super built-up  Area,Ready To Move,Begur,3,Arera V,1443,2,2,70
Super built-up  Area,18-May,Electronics City Phase 1,2,Shitt S,1175,2,1,57
Built-up  Area,Ready To Move,Horamavu Agara,2,,982,2,1,47.65
Super built-up  Area,Ready To Move,Thigalarapalya,2,Saowsi ,1000,2,2,48.53
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,Neess P,1030,2,1,50
Built-up  Area,Ready To Move,Kengeri Satellite Town,2,Malowr ,1030,2,2,50
Built-up  Area,Ready To Move,Harlur,2,Spiteid,1133,2,1,55
Super built-up  Area,Ready To Move,VGP Layout,2,AbnceEs,1133,2,2,55
Built-up  Area,Ready To Move,Electronic City,2,Palleon,865,2,0,42
Super built-up  Area,Ready To Move,Choodasandra,2,GRlpank,1215,2,2,59
Super built-up  Area,Ready To Move,Kothanur,3,,1462,3,3,71
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1153,2,2,56
Super built-up  Area,21-Dec,Kanakpura Road,2,PrarePa,700,2,1,34
Built-up  Area,Ready To Move,ISRO Layout,2,Foinade,1050,2,1,51
Built-up  Area,Ready To Move,Bannerghatta Road,3,,1400,3,,68
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Contsci,1400,2,2,68
Built-up  Area,Ready To Move,Iblur Village,2,,1400,2,2,68
Super built-up  Area,Ready To Move,Kaggadasapura,3,,1400,2,2,68
Super built-up  Area,Ready To Move,Vadarpalya,3,VMianri,1750,3,2,85
Super built-up  Area,Ready To Move,Vishwapriya Layout,2,Sanumn ,1235,2,2,60
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1070,2,1,52
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1070,2,1,52
Super built-up  Area,Ready To Move,Kodathi,2,,1070,2,1,52
Super built-up  Area,Ready To Move,Malleshpalya,3,KencyRe,1430,2,1,69.5
Super built-up  Area,18-Apr,Marathahalli,2,Spows M,1152,2,1,56
Built-up  Area,Ready To Move,Vidyaranyapura,3,DSestil,1440,2,0,70
Super built-up  Area,Ready To Move,Bellandur,2,Goner C,1049,2,1,51
Super built-up  Area,Ready To Move,Rachenahalli,3,Sovar S,1530,2,2,74.39
Super built-up  Area,Ready To Move,Rachenahalli,3,Sovar S,1530,2,2,74.4
Super built-up  Area,Ready To Move,Rachenahalli,3,Sovar S,1530,2,2,74.4
Super built-up  Area,Ready To Move,Rachenahalli,3,Sovar S,1530,2,2,74.4
Super built-up  Area,Ready To Move,Rachenahalli,3,Sovar S,1530,2,2,74.4
Super built-up  Area,Ready To Move,Kothanur,3,,1460,3,3,71
Super built-up  Area,Ready To Move,Bellandur,3,OriewLa,1830,3,3,89
Built-up  Area,Ready To Move,Bellandur,3,Itnaia ,1398,3,1,68
Super built-up  Area,Ready To Move,Nagarbhavi,3,,1850,3,2,90
Super built-up  Area,Ready To Move,Bommanahalli,3,AxinoCi,1850,3,2,90
Super built-up  Area,19-Dec,Hoodi,3,Caycend,1746,3,3,84.95
Super built-up  Area,21-May,Kanakpura Road,3,GolusLi,1500,3,1,72.99
Super built-up  Area,Ready To Move,Kengeri,2,VBeriav,750,2,1,36.5
Built-up  Area,Ready To Move,Electronic City,3,,1500,3,1,73
Super built-up  Area,Ready To Move,GM Palaya,3,MSuntra,1315,3,0,64
Built-up  Area,Ready To Move,Sarjapur  Road,2,Srntssh,1130,2,2,55
Super built-up  Area,Ready To Move,Kothanur,2,,1130,2,2,55
Super built-up  Area,Ready To Move,Gunjur,3,,1356,2,3,66
Super built-up  Area,Ready To Move,Varthur,2,Caiseur,1140,2,3,55.5
Super built-up  Area,Ready To Move,Marathahalli,2,,1026,2,1,49.95
Super built-up  Area,Ready To Move,Marathahalli,3,,1530,3,2,74.5
Super built-up  Area,Ready To Move,Rachenahalli,3,Sovar S,1530,2,2,74.5
Super built-up  Area,Ready To Move,Rachenahalli,3,Sovar S,1530,2,2,74.5
Super built-up  Area,18-Apr,manyata tech park,2,,1150,2,1,56
Built-up  Area,Ready To Move,Amruthahalli,2,,924,2,1,45
Super built-up  Area,Ready To Move,Kaggadasapura,3,,1540,3,,75
Super built-up  Area,Ready To Move,Marathahalli,2,,1102,2,2,53.67
Super built-up  Area,Ready To Move,Marathahalli,2,,1102,2,2,53.67
Super built-up  Area,18-Apr,Marathahalli,2,,1102,2,2,53.67
Super built-up  Area,18-Apr,Munnekollal,2,Sadhii ,1102,2,2,53.67
Super built-up  Area,18-Apr,Marathahalli,2,,1125,2,1,54.8
Built-up  Area,Ready To Move,Yeshwanthpur,2,IBityin,1170,2,2,57
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,3,,1950,4,3,95
Super built-up  Area,Ready To Move,Jigani,3,DLhtsen,1252,3,3,61
Super built-up  Area,Ready To Move,Padmanabhanagar,2,Gancy P,1067,2,2,52
Super built-up  Area,Ready To Move,Kothanur,3,,1436,3,3,70
Plot  Area,Ready To Move,Margondanahalli,2,,1200,2,1,58.5
Built-up  Area,Ready To Move,Gubbalala,4,,4000,5,1,195
Super built-up  Area,Ready To Move,Kanakpura Road,3,Hahtsya,1610,3,3,78.5
Super built-up  Area,Ready To Move,Vittasandra,3,Prlla C,1743,3,2,85
Super built-up  Area,Ready To Move,Rachenahalli,2,,1220,2,2,59.5
Super built-up  Area,Ready To Move,Marathahalli,2,,1075,2,2,52.43
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1025,2,1,50
Super built-up  Area,Ready To Move,CV Raman Nagar,2,Madener,1025,2,2,50
Super built-up  Area,Ready To Move,Dodda Nekkundi,2,,1148,2,1,56
Super built-up  Area,Ready To Move,Jigani,3,DLhtsen,1230,3,3,60
Super built-up  Area,Ready To Move,Kothanur,3,,1435,3,3,70
Super built-up  Area,Ready To Move,Hiremath Layout,3,,1435,3,3,70
Built-up  Area,Ready To Move,Ashirvad Colony,4,VMowsea,2050,3,1,100
Super built-up  Area,Ready To Move,Kundalahalli,2,Rasom B,1010,2,1,49.27
Super built-up  Area,Ready To Move,Marathahalli,2,,1071,2,2,52.25
Super built-up  Area,Ready To Move,Neeladri Nagar,3,GeereEc,2111,3,2,103
Super built-up  Area,21-Sep,9th Phase JP Nagar,2,Vasisvi,1073,2,1,52.36
Super built-up  Area,Ready To Move,Atmananda Colony,2,,1127,2,2,55
Super built-up  Area,Ready To Move,HBR Layout,2,Feissx ,1004,2,1,49
Super built-up  Area,18-May,Hosa Road,3,Pamesy ,1639,3,1,80
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,Ely 3Em,1270,2,2,62
Built-up  Area,Ready To Move,Sonnenahalli,2,DSgam S,896,2,1,43.75
Built-up  Area,Ready To Move,Kanakpura Road,3,PuandHi,1843,3,2,90
Super built-up  Area,18-May,Electronic City Phase II,4,SNbay G,2150,4,0,105
Super built-up  Area,Ready To Move,Akshaya Nagar,2,,1126,2,1,55
Built-up  Area,Ready To Move,Whitefield,3,SneurGr,1740,3,3,85
Super built-up  Area,Ready To Move,Kothanur,2,,1187,2,2,58
Super built-up  Area,20-Dec,Electronic City,4,KonteiT,2435,4,3,119
Super built-up  Area,Ready To Move,Hessarghatta,3,StwarSi,1330,3,2,65
Built-up  Area,Ready To Move,Vasantha Vallabha Nagar,2,Nentsan,900,1,1,44
Super built-up  Area,Ready To Move,Doctors Layout,2,Mavelr ,1125,2,1,55
Super built-up  Area,Ready To Move,Atmananda Colony,2,,1125,2,2,55
Super built-up  Area,Ready To Move,Marathahalli,2,,1125,2,3,55
Super built-up  Area,Ready To Move,Electronic City,3,Palleon,1350,3,2,66
Super built-up  Area,Ready To Move,Ngef Layout,3,,1800,3,2,88
Built-up  Area,18-Dec,Kanakpura Road,4,,2250,4,1,110
Super built-up  Area,18-May,Devanahalli,1,Pardsri,1020,2,1,49.87
Super built-up  Area,Ready To Move,Kudlu,2,MRvar S,1084,2,1,53
Super built-up  Area,18-Apr,Munnekollal,2,Sadhii ,1030,2,1,50.36
Built-up  Area,18-Mar,Hoodi,4,,2863,4,1,140
Super built-up  Area,Ready To Move,Budigere,3,PrityTr,1820,3,2,89
Super built-up  Area,20-Dec,Electronic City,2,KonteiT,1213,2,1,59.32
Super built-up  Area,Ready To Move,Kothanur,2,,1186,2,2,58
Built-up  Area,Ready To Move,Hoodi,3,Macanr ,1370,3,2,67
Super built-up  Area,Ready To Move,Kothanur,2,,1145,2,2,56
Super built-up  Area,Ready To Move,Marathahalli,2,,1026,2,1,50.18
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1153,2,2,56.4
Super built-up  Area,Ready To Move,Marathahalli,2,,1019,2,2,49.85
Built-up  Area,Ready To Move,Munnekollal,3,Keids O,1390,3,2,68
Super built-up  Area,Ready To Move,Marathahalli,2,,1019,2,2,49.86
Super built-up  Area,18-Apr,Marathahalli,2,,1019,2,2,49.86
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,Courf T,1124,2,2,55
Built-up  Area,Ready To Move,Kanakpura Road,3,,1737,3,3,85
Super built-up  Area,Ready To Move,Shivaji Nagar,3,,1226,2,2,60
Super built-up  Area,Ready To Move,Kothanur,2,,1185,2,2,58
Super built-up  Area,18-Apr,Munnekollal,2,Sadhii ,950,2,1,46.5
Built-up  Area,Ready To Move,Kodbisanhalli,3,KSideas,1430,3,2,70
Super built-up  Area,Ready To Move,Kammasandra,2,Icingpy,674,2,1,33
Super built-up  Area,Ready To Move,Bellandur,2,,1205,2,1,59
Super built-up  Area,Ready To Move,Varthur,3,Vaensia,1450,3,2,71
Super built-up  Area,19-Dec,Hoodi,3,Caycend,1644,3,3,80.51
Super built-up  Area,Ready To Move,Nagasandra,2,,980,2,1,48
Super built-up  Area,18-Aug,Kanakpura Road,2,,1225,2,2,60
Built-up  Area,Ready To Move,Mallathahalli,3,Viers S,1225,3,3,60
Super built-up  Area,Ready To Move,Harlur,3,SrEndPo,2450,3,0,120
Super built-up  Area,Ready To Move,Padmanabhanagar,3,Naasyak,1531,2,0,75
Super built-up  Area,Ready To Move,Uttarahalli,2,,1286,2,2,63
Built-up  Area,Ready To Move,Hennur Road,2,Koagati,1066,2,1,52.23
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1153,2,2,56.5
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1153,2,2,56.5
Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,1404,2,1,68.8
Super built-up  Area,Ready To Move,Hormavu,2,,765,2,1,37.49
Super built-up  Area,Ready To Move,Marathahalli,2,,957,2,1,46.9
Super built-up  Area,Ready To Move,Jigani,2,DLhtsan,918,2,2,45
Super built-up  Area,Ready To Move,Basavanagara,3,,1428,2,1,70
Super built-up  Area,Ready To Move,Whitefield,3,PaantPl,1530,3,3,75
Super built-up  Area,Ready To Move,Akshaya Nagar,3,,1897,4,2,93
Super built-up  Area,18-Sep,Hennur Road,3,Shxorm ,1550,3,0,75.99
Super built-up  Area,Ready To Move,Electronic City Phase II,2,Assha A,775,2,2,38
Super built-up  Area,Ready To Move,Kothanur,2,,1142,2,2,56
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1153,2,2,56.55
Super built-up  Area,Ready To Move,Hosur Road,3,UmrldDr,1733,2,3,85
Super built-up  Area,Ready To Move,Electronic City,3,Goty  E,1631,3,2,80
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1162,2,1,57
Super built-up  Area,Ready To Move,RWF West Colony,3,PancyRe,1427,2,3,70
Super built-up  Area,Ready To Move,Yelahanka,3,NCowsar,1692,3,2,83
Super built-up  Area,Ready To Move,Kenchenahalli,2,Unateit,1060,2,2,52
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar 5th Stage,2,Amnavdr,1060,2,1,52
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1060,2,1,52
Super built-up  Area,Ready To Move,Mallasandra,2,GMilse ,1325,2,,65
Super built-up  Area,Ready To Move,Bellandur,2,GoncyRe,1325,2,2,65
Super built-up  Area,Ready To Move,Nagarbhavi,2,SVdhaig,1223,2,1,60
Super built-up  Area,Ready To Move,Subramanyapura,3,Prldsri,1278,3,2,62.71
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,Maodser,1080,2,1,53
Super built-up  Area,18-Apr,Anwar Layout,1,UKicte ,660,1,0,32.39
Super built-up  Area,Ready To Move,Begur,2,Prorath,815,2,1,40
Super built-up  Area,Ready To Move,P&T Layout,2,Sashaa ,935,2,1,45.9
Super built-up  Area,Ready To Move,Vidyaranyapura,2,,1100,2,1,54
Super built-up  Area,Ready To Move,Hebbal,2,,1100,2,1,54
Super built-up  Area,Ready To Move,Vidyaranyapura,2,,1100,2,1,54
Super built-up  Area,Ready To Move,Vidyaranyapura,2,,1100,2,1,54
Super built-up  Area,Ready To Move,Kodigehaali,3,Shyas S,1324,3,2,65
Super built-up  Area,Ready To Move,Nehru Nagar,4,Undge T,2342,3,2,115
Super built-up  Area,Ready To Move,Yelahanka,2,Rarthne,1120,2,2,55
Super built-up  Area,Ready To Move,CV Raman Nagar,2,Srshq T,1120,2,2,55
Super built-up  Area,Ready To Move,Marathahalli,2,,957,2,1,47
Super built-up  Area,18-Apr,Marathahalli,2,,957,2,1,47
Super built-up  Area,Ready To Move,Bellandur,3,OriewLa,1830,3,3,89.89
Super built-up  Area,Ready To Move,Whitefield,2,PaantPl,1140,2,1,56
Super built-up  Area,Ready To Move,Hennur Road,2,,1140,2,2,56
Super built-up  Area,Ready To Move,Hiremath Layout,2,,1140,2,2,56
Super built-up  Area,Ready To Move,Kothanur,2,,1140,2,2,56
Super built-up  Area,18-Mar,Kothanur,2,,1140,2,2,56
Super built-up  Area,Ready To Move,Kalena Agrahara,3,Shodsth,1425,2,1,70
Super built-up  Area,Ready To Move,Yelahanka,4,,3175,4,1,156
Super built-up  Area,Ready To Move,kadubisnahalli,2,,1160,2,2,57
Super built-up  Area,Ready To Move,Kothanur,2,,1160,2,2,57
Built-up  Area,Ready To Move,Basaveshwara Nagar,2,,1180,2,3,58
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2,,1180,2,2,58
Built-up  Area,Ready To Move,Thanisandra,3,Pronyt ,1241,2,1,61
Super built-up  Area,Ready To Move,Marathahalli,2,,950,2,2,46.7
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1200,2,1,59
Super built-up  Area,Ready To Move,Kothanur,3,,1454,3,3,71.5
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1153,2,2,56.7
Super built-up  Area,Ready To Move,Kanakpura Road,2,Hahtsya,1220,2,2,60
Super built-up  Area,Ready To Move,Bellandur,2,,1220,2,2,60
Super built-up  Area,Ready To Move,Chikbasavanapura,2,SatonLi,1220,2,2,60
Super built-up  Area,Ready To Move,Bellandur,3,OriewLa,1830,3,,90
Super built-up  Area,21-May,Kanakpura Road,2,GolusLi,1309,2,3,64.39
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,2,Mauner ,996,2,2,49
Super built-up  Area,19-Jul,Ramamurthy Nagar,2,Vaharvi,1050,2,1,51.66
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,Keave E,1260,2,1,62
Super built-up  Area,18-Jun,Sadaramangala,2,Maade P,1260,2,1,62
Built-up  Area,Ready To Move,9th Phase JP Nagar,3,ImiteEl,1890,2,,93
Built-up  Area,Ready To Move,Kammanahalli,5,,2845,5,1,140
Super built-up  Area,19-Dec,Devanahalli,3,Jurdsig,1520,,,74.82
Super built-up  Area,20-Dec,Judicial Layout,3,PrarePa,1300,3,1,64
Super built-up  Area,22-Dec,2nd Phase Judicial Layout,3,,1300,3,2,64
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",3,,1300,3,2,64
Super built-up  Area,21-Jan,Kanakpura Road,3,PrarePa,1300,3,1,64
Plot  Area,18-May,Margondanahalli,3,,1625,3,0,80
Built-up  Area,Ready To Move,Hulimavu,3,Naepa D,1320,2,2,65
Built-up  Area,Ready To Move,Kodigehaali,3,Shyas S,1320,3,0,65
Built-up  Area,Ready To Move,Whitefield,3,,1990,3,3,98
Super built-up  Area,Ready To Move,Tumkur Road,2,Redarav,1066,2,2,52.5
Super built-up  Area,18-Aug,Kanakpura Road,3,,1401,3,2,69
Super built-up  Area,Ready To Move,Kaggadasapura,3,,1340,3,1,66
Built-up  Area,Ready To Move,Hennur Road,2,Baesta ,1015,2,2,50
Super built-up  Area,21-May,Kanakpura Road,2,GolusLi,1283,2,2,63.22
Built-up  Area,Ready To Move,Hormavu,3,Cadel C,1725,3,2,85
Built-up  Area,Ready To Move,Bannerghatta Road,3,Malmser,1725,3,3,85
Super built-up  Area,Ready To Move,Kacharakanahalli,3,JPoldGo,1400,3,3,69
Super built-up  Area,Ready To Move,Bannerghatta Road,3,SNity S,1400,3,2,69
Super built-up  Area,Ready To Move,Rajasree Layout,3,Itbhaa ,1420,3,3,70
Super built-up  Area,Ready To Move,Kothanur,2,,1075,2,2,53
Super built-up  Area,Ready To Move,Whitefield,2,,1075,2,1,53
Super built-up  Area,18-Mar,Kothanur,2,,1075,2,2,53
Super built-up  Area,Ready To Move,Bannerghatta Road,3,SNity S,1460,2,2,72
Super built-up  Area,Ready To Move,Jakkur,3,Soral C,1622,2,0,80
Super built-up  Area,Ready To Move,Murugeshpalya,3,Vestas ,1845,3,3,91
Super built-up  Area,20-Jun,Budigere,2,Brstaue,1150,2,0,56.725
Super built-up  Area,Ready To Move,Whitefield,2,Gamesti,1115,2,1,55
Built-up  Area,Ready To Move,Jayanti Nagar,2,,760,2,1,37.49
Built-up  Area,Ready To Move,Horamavu Agara,2,,760,2,2,37.49
Super built-up  Area,19-Apr,Mysore Road,3,Brama P,1500,3,2,74
Built-up  Area,Ready To Move,6th Phase JP Nagar,2,,1216,2,2,60
Super built-up  Area,Ready To Move,Dasarahalli,3,Syonyph,1520,2,1,75
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,770,1,1,38
Built-up  Area,Ready To Move,Electronic City Phase II,2,,1155,2,1,57
Super built-up  Area,Ready To Move,Maithri Layout,3,Lalipa ,1540,3,3,76
Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,1404,2,1,69.3
Super built-up  Area,Ready To Move,Kothanur,2,,1094,2,2,54
Super built-up  Area,Ready To Move,Hennur Road,2,,1195,2,2,59
Super built-up  Area,Ready To Move,Kothanur,2,,1195,2,2,59
Super built-up  Area,18-Jul,Kasavanhalli,3,Oca 2 V,1600,3,3,79
Built-up  Area,Ready To Move,Kudlu,3,GKityde,1600,3,3,79
Built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2,PrinePr,1154,2,1,57
Super built-up  Area,Ready To Move,Devanahalli,2,Cerdsga,1080,2,0,53.35
Super built-up  Area,Ready To Move,Electronic City,3,Briumri,1518,3,3,75
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,Courf T,1113.12,2,2,55
Super built-up  Area,Ready To Move,Seethappa Layout,2,,850,2,1,42
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,Prhna S,850,2,2,42
Super built-up  Area,Ready To Move,Rachenahalli,2,Paentta,1113,2,1,55
Super built-up  Area,18-Dec,Kanakapura,2,GoityEt,1295,2,2,64
Super built-up  Area,Ready To Move,Hennur,2,Shateor,1295,2,1,64
Super built-up  Area,Ready To Move,Munnekollal,3,DSalehn,1750,3,3,86.5
Built-up  Area,Ready To Move,Chikkanahalli,2,,1052,2,2,52
Super built-up  Area,Ready To Move,GM Palaya,3,MSuntra,1315,3,1,65
Super built-up  Area,Ready To Move,Hebbal,3,Viave E,1315,3,3,65
Built-up  Area,Ready To Move,GM Palaya,3,Scsta V,1315,2,2,65
Built-up  Area,Ready To Move,Akash Nagar,2,,967,2,1,47.8
Super built-up  Area,18-Apr,Marathahalli,2,,950,2,1,46.96
Built-up  Area,20-Dec,"Hoodi Circle, ",2,,1234,2,1,61
Super built-up  Area,Ready To Move,Panathur,3,Isncasa,1861,3,3,92
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1153,2,2,57
Super built-up  Area,18-Mar,9th Phase JP Nagar,3,HMigond,1780,3,2,88
Super built-up  Area,Ready To Move,Arekere,2,Prdowth,900,2,1,44.5
Super built-up  Area,19-Dec,Whitefield,2,Oreldhi,1173,2,1,58
Super built-up  Area,18-Apr,Electronic City,2,Prarkun,1355,2,1,67
Super built-up  Area,Ready To Move,Bommanahalli,2,Kut 3or,910,2,1,45
Super built-up  Area,18-May,Rachenahalli,1,AsNowre,660,1,0,32.64
Super built-up  Area,Ready To Move,Singasandra,3,EAvarum,1476,2,1,73
Super built-up  Area,Ready To Move,Marathahalli,3,,1385,2,2,68.5
Super built-up  Area,Ready To Move,BTM 2nd Stage,2,,930,2,2,46
Super built-up  Area,Ready To Move,Kaggalipura,2,Baowsig,950,2,1,47
Carpet  Area,Ready To Move,Maruthi Sevanagar,2,SMikaay,950,2,2,47
Super built-up  Area,Ready To Move,RMV Extension,2,DSureSi,1152,2,1,57
Super built-up  Area,Ready To Move,Jakkur,3,,1374,3,2,68
Super built-up  Area,21-Dec,Thanisandra,1,Bhe 2ko,693,1,1,34.3
Built-up  Area,21-Dec,Thanisandra,1,Bhe 2ko,693,1,1,34.3
Super built-up  Area,21-Nov,Thanisandra,3,Bhe 2ko,1732,3,3,85.73
Super built-up  Area,21-Dec,Thanisandra,3,Bhe 2ko,1732,3,1,85.73
Super built-up  Area,21-Dec,Thanisandra,3,Bhe 2ko,1732,3,1,85.73
Super built-up  Area,21-Dec,Thanisandra,2,Bhe 2ko,1437,2,1,71.13
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3,,1798,3,2,89
Super built-up  Area,21-Dec,Thanisandra,2,Bhe 2ko,1340,2,1,66.33
Super built-up  Area,Ready To Move,LB Shastri Nagar,2,ThhtsV ,1000,2,1,49.5
Super built-up  Area,Ready To Move,Varanasi,5,,2000,4,1,99
Super built-up  Area,Ready To Move,Thanisandra,3,Bhmesy ,2000,3,2,99
Plot  Area,Ready To Move,Bank Avenue,4,,2000,4,2,99
Super built-up  Area,21-Nov,Thanisandra,2,Bhe 2ko,1183,2,2,58.56
Super built-up  Area,21-Dec,Thanisandra,2,Bhe 2ko,1183,2,1,58.56
Built-up  Area,21-Dec,Thanisandra,1,Bhe 2ko,923,1,1,45.69
Super built-up  Area,21-Dec,Thanisandra,1,Bhe 2ko,663,1,0,32.82
Built-up  Area,Ready To Move,Channasandra,2,,808,2,1,40
Super built-up  Area,Ready To Move,Kadugodi,2,SLoven ,1010,2,1,50
Super built-up  Area,Ready To Move,Begur Road,3,MJilayl,1444,2,2,71.5
Super built-up  Area,18-Mar,Kanakapura,2,,929,2,1,46
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,Tentsw ,1575,2,2,78
Super built-up  Area,Ready To Move,Marathahalli,3,Aiitya ,1575,3,,78
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1070,2,1,53
Super built-up  Area,Ready To Move,Yelenahalli,2,Nisisn ,1090,2,1,54
Super built-up  Area,Ready To Move,Mylasandra,2,Laowsba,1110,2,2,55
Super built-up  Area,Ready To Move,Brookefield,2,Srluei ,1130,2,2,56
Super built-up  Area,Ready To Move,HSR Layout,2,SrisePo,1372,2,1,68
Built-up  Area,Ready To Move,Hebbal,2,,1150,2,1,57
Super built-up  Area,Ready To Move,Kenchenahalli,2,AriosPa,1150,2,2,57
Super built-up  Area,Ready To Move,Bikasipura,3,,1654,3,3,82
Super built-up  Area,21-Dec,Thanisandra,4,Bhe 2ko,2259,3,2,112
Super built-up  Area,Ready To Move,Whitefield,2,,1190,2,3,59
Super built-up  Area,Ready To Move,Yemlur,2,Saensar,1210,2,1,60
Built-up  Area,Ready To Move,Varthur,2,Vaensia,1210,2,1,60
Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2,Aaityi ,1210,2,2,60
Super built-up  Area,Ready To Move,Rachenahalli,2,,1050,2,2,52.07
Super built-up  Area,Ready To Move,Rachenahalli,2,,1050,2,2,52.07
Super built-up  Area,Ready To Move,Rachenahalli,2,,1050,2,2,52.08
Super built-up  Area,Ready To Move,Rachenahalli,2,,1050,2,2,52.08
Super built-up  Area,20-Dec,Jalahalli West,2,,1250,2,1,62
Built-up  Area,Ready To Move,Electronic City,2,Prhtsua,1250,2,1,62
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1139,2,2,56.5
Built-up  Area,Ready To Move,Electronics City Phase 1,2,,1028,2,1,51
Super built-up  Area,Ready To Move,Rachenahalli,2,,1050,2,2,52.1
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,,1236,2,2,61.33
Super built-up  Area,Ready To Move,Kanakpura Road,2,Wiowsri,1010,2,0,50.125
Super built-up  Area,Ready To Move,Kanakpura Road,3,Wiowsri,1430,,,70.99
Super built-up  Area,Ready To Move,Hennur Road,2,Koagati,987,2,1,49
Super built-up  Area,Ready To Move,Nehru Nagar,3,Undge T,1269,2,2,63
Super built-up  Area,Ready To Move,Choodasandra,2,Maidsr ,725,2,2,36
Built-up  Area,Ready To Move,Hulimavu,3,Srise P,1450,3,3,72
Built-up  Area,Ready To Move,Horamavu Agara,2,,755,2,1,37.49
Super built-up  Area,Ready To Move,Singasandra,3,,1510,3,2,75
Built-up  Area,Ready To Move,Frazer Town,3,Loente ,1510,2,1,75
Super built-up  Area,Ready To Move,Gollahalli,3,MJlese ,1570,3,2,78
Super built-up  Area,17-Jul,Balagere,3,HiqueMa,1590,3,2,79
Super built-up  Area,Ready To Move,Ayappa Nagar,3,Spity E,1449,3,1,72
